,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
476,Guarapari,BR,-20.6667,-40.4975,63.9,86,92,7.74,overcast clouds
477,Todos Santos,MX,23.45,-110.2167,79.66,86,31,5.17,scattered clouds
478,Amahai,ID,-3.3333,128.9167,76.73,83,100,3.29,overcast clouds
479,Ko Samui,TH,9.5357,99.9357,81.72,76,100,14.63,overcast clouds
480,Terrak,NO,65.087,12.3715,51.67,89,92,1.92,overcast clouds
481,Gravdal,NO,68.1214,13.5031,49.24,77,98,26.02,overcast clouds
482,Westport,US,41.1415,-73.3579,72.12,70,0,5.75,clear sky
483,Sao Sebastiao,BR,-23.76,-45.4097,63.75,82,54,4.09,broken clouds
484,Piracaia,BR,-23.0539,-46.3581,54.64,77,0,10.58,clear sky
485,Khowst,AF,33.3833,69.8833,71.89,65,0,2.3,clear sky
486,Oranjestad,AW,12.524,-70.027,84.49,76,94,12.68,overcast clouds
487,Aripuana,BR,-9.1667,-60.6333,88.38,41,77,2.24,broken clouds
488,Kirksville,US,40.1948,-92.5833,75.15,73,0,10.36,clear sky
489,Taoudenni,ML,22.6783,-3.9836,94.42,16,2,11.5,clear sky
490,Yongan,CN,39.6957,113.6871,58.84,42,9,2.62,clear sky
491,Shintomi,JP,32.0785,131.4723,79.32,91,100,33.22,light rain
492,Winburg,ZA,-28.518,27.0093,61.56,33,41,5.93,scattered clouds
493,Broome,US,42.2506,-75.833,77.85,62,0,8.05,clear sky
494,Maloy,NO,61.9353,5.1136,47.93,82,100,24.32,overcast clouds
495,Northam,GB,51.0333,-4.2167,54.61,73,31,8.03,scattered clouds
496,Teluk Nibung,ID,3.001,99.8164,73.94,97,100,4.54,overcast clouds
497,Polunochnoye,RU,60.8697,60.4153,47.26,93,100,9.73,light rain
498,Otjimbingwe,NA,-22.35,16.1333,67.5,53,0,4.56,clear sky
499,Kloulklubed,PW,7.0419,134.2556,83.89,64,90,4.05,overcast clouds
500,La Orilla,MX,17.9833,-102.2333,76.37,92,100,2.39,overcast clouds
501,Mokobeng,BW,-22.9965,27.6678,72.12,19,0,4.97,clear sky
502,Tezu,IN,27.9167,96.1667,74.21,95,95,3.15,overcast clouds
503,Saint Paul,US,44.9444,-93.0933,84.61,58,0,12.66,clear sky
504,Rongcheng,CN,30.634,117.8517,68.31,94,11,2.15,few clouds
505,Kijang,KR,35.2442,129.2139,74.59,88,100,12.97,overcast clouds
506,Melfi,IT,40.9965,15.6514,55.49,63,80,11.48,broken clouds
507,Aykhal,RU,66.0,111.5,24.62,90,99,26.08,overcast clouds
508,Chuzhou,CN,32.3219,118.2978,68.05,97,1,5.19,clear sky
509,Khandyga,RU,62.6667,135.6,39.88,78,100,4.92,overcast clouds
510,Kemijarvi,FI,66.7131,27.4306,47.84,97,100,8.88,light rain
511,Dangriga,BZ,16.9692,-88.2321,82.38,83,100,12.26,overcast clouds
512,Loei,TH,17.4167,101.5,64.42,94,100,1.34,overcast clouds
513,Killam,CA,52.7834,-111.8518,64.35,36,15,14.97,few clouds
514,Maceio,BR,-9.6658,-35.7353,72.84,88,40,6.91,scattered clouds
515,Beyneu,KZ,45.3167,55.2,70.79,30,22,10.98,few clouds
516,Altamira,BR,-3.2033,-52.2064,84.15,51,100,1.99,overcast clouds
517,Vardo,NO,70.3705,31.1107,44.58,93,100,19.57,overcast clouds
518,San Quintin,MX,30.4833,-115.95,72.3,66,0,15.19,clear sky
519,Baghdad,IQ,33.3406,44.4009,82.31,26,0,5.75,clear sky
520,Riachao Das Neves,BR,-11.7461,-44.91,85.53,22,23,4.88,few clouds
521,Boma,GH,7.0805,-2.1697,70.68,97,46,1.97,scattered clouds
522,Kotri,PK,25.366,68.3122,80.01,72,5,12.59,clear sky
523,Gushikawa,JP,26.3544,127.8686,81.63,88,100,21.85,mist
524,Bahia Honda,CU,22.9036,-83.1592,84.31,73,96,10.31,overcast clouds
525,Plettenberg Bay,ZA,-34.0527,23.3716,56.59,87,100,4.25,light rain
526,Calabozo,VE,8.9242,-67.4293,80.65,81,88,5.82,overcast clouds
527,Brigantine,US,39.4101,-74.3646,76.03,66,0,9.22,clear sky
528,Itainopolis,BR,-7.4469,-41.4783,85.19,18,7,5.68,clear sky
529,Binga,ZW,-17.6203,27.3414,70.68,42,4,2.26,clear sky
530,Pochutla,MX,15.7432,-96.4661,75.02,94,100,1.7,overcast clouds
531,Torres,BR,-29.3353,-49.7269,60.82,80,17,9.93,few clouds
532,Maumere,ID,-8.6199,122.2111,77.5,81,100,1.54,overcast clouds
533,Cabo Rojo,PR,18.0866,-67.1457,84.97,77,98,4.0,overcast clouds
534,Saskylakh,RU,71.9167,114.0833,32.65,96,100,13.69,overcast clouds
535,Ballina,AU,-28.8667,153.5667,66.78,59,77,9.42,broken clouds
536,Cahabon,GT,15.5667,-89.8167,76.01,93,99,1.61,overcast clouds
537,Key West,US,24.5557,-81.7826,80.6,91,40,5.75,moderate rain
538,Dom Pedrito,BR,-30.9828,-54.6731,60.24,69,53,7.76,broken clouds
539,Ondjiva,AO,-17.0667,15.7333,68.63,20,0,6.87,clear sky
540,Maraba,BR,-5.3686,-49.1178,87.98,58,40,3.44,scattered clouds
541,Sinjar,IQ,36.3209,41.8754,86.34,13,0,5.61,clear sky
542,Itoman,JP,26.1247,127.6694,82.42,86,75,32.21,broken clouds
543,Tianpeng,CN,30.9866,103.9393,69.85,89,100,1.57,overcast clouds
544,Hastings,GB,50.8552,0.5729,53.78,61,23,7.14,few clouds
545,Katima Mulilo,NA,-17.5,24.2667,67.51,34,0,5.21,clear sky
546,Vincennes,FR,48.85,2.4333,52.93,67,0,5.75,clear sky
547,Belmonte,BR,-15.8631,-38.8828,72.46,81,54,16.84,broken clouds
548,Sao Cristovao,BR,-11.0147,-37.2064,76.91,73,20,9.22,few clouds
549,Gisborne,NZ,-38.6533,178.0042,57.27,61,40,1.74,scattered clouds
550,Naze,JP,28.3667,129.4833,77.92,91,100,38.27,moderate rain
551,Devils Lake,US,48.1128,-98.8651,60.91,72,100,6.91,overcast clouds
552,Lac Du Bonnet,CA,50.2536,-96.0612,60.94,90,100,3.29,overcast clouds
553,Hammerfest,NO,70.6634,23.6821,45.05,100,75,19.57,light rain
554,Vila Velha,BR,-20.3297,-40.2925,66.15,78,75,11.5,broken clouds
555,Mount Isa,AU,-20.7333,139.5,71.37,26,25,12.66,scattered clouds
556,Port Hardy,CA,50.6996,-127.4199,60.98,59,20,11.5,few clouds
557,Saraikela,IN,22.7167,85.95,75.87,92,94,3.91,overcast clouds
558,Shymkent,KZ,42.3,69.6,64.99,30,0,2.24,clear sky
559,Marzuq,YE,14.4,46.4667,82.18,36,62,3.33,broken clouds
560,Tucupita,VE,9.0622,-62.051,74.8,96,99,2.77,overcast clouds
561,Tiznit,MA,29.5833,-9.5,64.67,81,67,3.91,broken clouds
562,Voyskovitsy,RU,59.5287,29.964,50.83,94,98,11.12,overcast clouds
563,Camacha,PT,33.0833,-16.3333,71.02,88,40,9.22,scattered clouds
564,Yatou,CN,37.15,122.3833,66.47,89,1,7.58,clear sky
565,Panalingaan,PH,8.7842,117.4231,78.08,88,98,5.93,overcast clouds
566,Sibolga,ID,1.7427,98.7792,73.98,94,100,1.79,overcast clouds
567,Roblin,CA,51.23,-101.3565,59.07,73,98,4.5,overcast clouds
568,Pacific Grove,US,36.6177,-121.9166,75.38,77,40,12.66,scattered clouds
569,Oranjemund,NA,-28.55,16.4333,54.54,93,86,10.76,overcast clouds
570,Voznesenye,RU,61.0106,35.4781,50.61,89,96,9.1,overcast clouds
571,Bom Despacho,BR,-19.7364,-45.2522,65.97,68,80,11.59,broken clouds
572,Conceicao Da Barra,BR,-18.5933,-39.7322,65.53,82,100,11.32,overcast clouds
573,Bandrele,YT,-12.9067,45.1914,74.95,83,0,9.22,clear sky
574,Kimbe,PG,-5.5502,150.1429,80.91,75,91,3.22,overcast clouds
575,Adet,ET,11.2644,37.4888,54.19,88,80,3.69,broken clouds
576,Zhigansk,RU,66.7697,123.3711,31.37,93,100,11.21,light snow
577,Zhezkazgan,KZ,47.8043,67.7144,52.92,29,1,8.55,clear sky
578,Bhag,PK,29.0415,67.8239,87.73,44,0,9.62,clear sky
579,Mankera,PK,31.3866,71.4407,86.09,54,0,12.21,clear sky
580,Brindisi,IT,40.5833,17.6667,68.36,60,64,20.07,broken clouds
581,Mitsamiouli,KM,-11.3847,43.2844,75.76,69,50,3.6,scattered clouds
582,Roma,US,43.2128,-75.4557,75.72,71,0,5.75,clear sky
583,Ndele,CF,8.4109,20.6473,69.15,99,100,4.05,light rain
584,Baculin,PH,7.4525,126.5842,78.71,84,97,8.34,overcast clouds
585,Santa Clara,CU,22.4,-79.9667,87.46,58,20,13.8,few clouds
586,Kulhudhuffushi,MV,6.6221,73.07,79.95,80,48,8.52,scattered clouds
587,Touros,BR,-5.1989,-35.4608,77.04,77,27,12.71,scattered clouds
588,Morgan City,US,29.6994,-91.2068,84.0,65,28,9.42,scattered clouds
589,Manthani,IN,18.65,79.6667,74.64,93,99,3.36,overcast clouds
590,Karatau,KZ,43.1667,70.4667,60.04,29,96,2.62,overcast clouds
591,Luau,AO,-10.7073,22.2247,75.09,43,73,2.37,broken clouds
592,Kota Tinggi,MY,1.7381,103.8999,78.84,95,88,1.41,overcast clouds
593,Semnan,IR,35.5729,53.3971,73.24,21,0,2.3,clear sky
594,Thinadhoo,MV,0.5333,72.9333,81.59,68,6,5.23,clear sky
595,Fort Stewart,US,31.8722,-81.61,86.02,53,36,8.46,scattered clouds
596,Anapskaya,RU,44.89,37.38,71.83,53,0,8.95,clear sky
597,Bac Lieu,VN,9.285,105.7244,78.1,89,100,7.87,overcast clouds
598,Port-Gentil,GA,-0.7193,8.7815,78.76,78,100,11.5,overcast clouds
599,Phalaborwa,ZA,-23.943,31.1411,73.4,21,0,4.43,clear sky
600,Calderitas,MX,18.55,-88.25,87.91,70,75,16.11,broken clouds
601,Charters Towers,AU,-20.1,146.2667,72.54,75,30,6.69,scattered clouds
602,Adrar,MR,20.5022,-10.0711,87.35,22,0,10.83,clear sky
603,Vanavara,RU,60.34,102.2797,30.04,89,24,1.45,few clouds
604,Muisne,EC,0.6,-80.0333,76.05,81,99,8.66,overcast clouds
605,Dwarka,IN,22.2394,68.9678,80.22,78,100,12.03,overcast clouds
606,Cacapava Do Sul,BR,-30.5122,-53.4914,55.13,72,33,5.73,scattered clouds
607,Isangel,VU,-19.55,169.2667,80.71,74,20,9.22,few clouds
608,Korla,CN,41.7597,86.1469,68.63,21,97,12.44,overcast clouds
609,Emet,TR,39.343,29.2585,69.26,31,0,5.64,clear sky
610,Lichuan,CN,30.3,108.85,61.95,93,55,2.17,broken clouds
611,Eureka,US,40.8021,-124.1637,69.75,80,100,8.99,overcast clouds
612,Mazyr,BY,52.0495,29.2456,48.7,93,82,4.61,broken clouds
613,Mecca,SA,21.4267,39.8261,85.5,40,85,1.59,overcast clouds
614,Leh,IN,34.1667,77.5833,51.69,43,9,5.91,clear sky
615,Kayes,ML,14.0,-11.0,78.62,79,51,4.92,light rain
616,Praia Da Vitoria,PT,38.7333,-27.0667,75.45,94,75,7.0,broken clouds
617,Bantry,IE,51.6833,-9.45,49.8,85,49,2.91,scattered clouds
618,Vallenar,CL,-28.5708,-70.7581,61.88,49,0,7.02,clear sky
619,Richards Bay,ZA,-28.783,32.0377,66.04,86,61,4.38,broken clouds
620,Geraldton,AU,-28.7667,114.6,46.81,93,1,5.75,clear sky
621,Yar-Sale,RU,66.8333,70.8333,47.21,75,99,9.64,overcast clouds
622,Mogadouro,PT,41.3403,-6.7119,69.26,35,100,6.04,overcast clouds
623,Boddam,GB,57.4667,-1.7833,51.49,78,100,18.84,light rain
624,Tamandare,BR,-8.7597,-35.1047,74.28,80,16,6.58,few clouds
625,Lianran,CN,24.9227,102.485,61.34,97,11,1.34,few clouds
626,Harwich,GB,51.9419,1.2844,52.52,69,76,4.0,broken clouds
627,Bitung,ID,1.4451,125.1824,72.45,84,100,9.31,overcast clouds
628,Necochea,AR,-38.5473,-58.7368,61.79,65,100,10.65,overcast clouds
629,Sembe,CG,1.6481,14.5806,70.34,93,100,1.48,light rain
630,Marrakesh,MA,31.6315,-8.0083,75.27,60,40,9.22,scattered clouds
631,Itaituba,BR,-4.2761,-55.9836,81.45,60,98,1.9,overcast clouds
632,Palasa,IN,18.7667,84.4167,79.43,82,90,4.63,overcast clouds
633,Xuddur,SO,4.1213,43.8894,72.23,63,50,16.22,scattered clouds
634,Tahlequah,US,35.9154,-94.97,95.22,26,40,9.22,scattered clouds
635,Wewak,PG,-3.5534,143.6268,79.39,83,53,5.95,broken clouds
636,Guanica,PR,17.9716,-66.908,84.9,75,100,12.1,light rain
637,Katete,UG,-0.7818,29.7544,61.56,93,91,2.53,light rain
638,Micheweni,TZ,-4.9667,39.8333,73.38,85,10,9.89,clear sky
639,Muravlenko,RU,63.7898,74.523,47.44,69,100,12.73,overcast clouds
640,Qiryat Shemona,IL,33.2073,35.5721,75.69,72,0,2.98,clear sky
641,Ibia,BR,-19.4783,-46.5389,69.26,67,97,11.99,overcast clouds
642,U Thong,TH,14.3751,99.8923,76.59,85,100,6.11,light rain
643,Andenes,NO,69.3143,16.1194,48.92,87,100,19.57,overcast clouds
644,Clinton,US,42.587,-82.9199,85.12,60,40,10.36,scattered clouds
645,Ati,TD,13.2154,18.3353,77.0,81,99,9.75,light rain
646,Khor,RU,47.8861,134.9464,57.27,98,100,4.85,overcast clouds
647,Bandar,ID,2.05,99.75,72.64,98,100,1.74,overcast clouds
648,Hasaki,JP,35.7333,140.8333,81.0,84,100,13.38,overcast clouds
649,Honningsvag,NO,70.9821,25.9704,46.15,87,100,21.85,drizzle
650,Ladario,BR,-19.0047,-57.6017,88.41,29,0,4.97,clear sky
651,San-Pedro,CI,4.7485,-6.6363,74.79,92,83,5.14,light rain
652,Ewa Beach,US,21.3156,-158.0072,89.55,52,0,13.8,clear sky
653,Champerico,GT,14.3,-91.9167,81.14,77,95,11.18,overcast clouds
654,Le Port,RE,-20.9373,55.2919,69.8,74,3,8.12,clear sky
655,Feldbach,AT,46.9531,15.8883,54.01,76,100,6.31,overcast clouds
656,Leutkirch,DE,47.825,10.0167,47.57,87,100,10.63,light rain
657,Soyo,AO,-6.1349,12.3689,73.83,82,78,4.61,broken clouds
658,Bilibino,RU,68.0546,166.4372,31.87,70,100,3.13,overcast clouds
659,Kysyl-Syr,RU,63.8986,122.7617,28.89,90,76,7.29,broken clouds
660,Bemidji,US,47.4736,-94.8803,71.37,80,100,0.0,overcast clouds
661,La Libertad,EC,-2.2333,-80.9,69.46,83,75,12.66,broken clouds
662,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,89,22,5.5,few clouds
663,Pa Sang,TH,18.5262,98.9394,77.2,97,99,0.6,overcast clouds
664,Menongue,AO,-14.6585,17.691,61.11,26,5,2.35,clear sky
665,Severo-Yeniseyskiy,RU,60.3725,93.0408,41.85,94,92,3.42,overcast clouds
666,Motygino,RU,58.1831,94.7592,39.22,94,50,1.63,scattered clouds
667,Kuminskiy,RU,58.6667,66.5667,53.01,47,100,10.65,overcast clouds
668,Semme,FR,46.1963,1.5007,52.21,61,2,4.38,clear sky
669,Mayumba,GA,-3.432,10.6554,74.41,86,98,6.22,overcast clouds
670,Requena,ES,39.4883,-1.1004,66.52,81,65,5.35,broken clouds
671,Dongsheng,CN,39.8161,109.9776,55.87,35,16,8.32,few clouds
672,Pampa,US,35.5362,-100.9599,96.84,23,40,20.71,scattered clouds
673,Semenivka,UA,52.1783,32.5818,47.55,95,72,3.94,light rain
674,Voh,NC,-20.9667,164.7,77.22,59,0,2.86,clear sky
675,Xingyi,CN,24.1877,102.817,59.59,98,56,0.49,broken clouds
676,Ambilobe,MG,-13.2,49.05,68.13,70,96,4.83,overcast clouds
677,Marolambo,MG,-20.05,48.1167,57.11,98,8,2.42,clear sky
678,Najran,SA,17.4924,44.1277,81.25,26,92,3.18,overcast clouds
679,Mildura,AU,-34.2,142.15,53.08,79,95,14.67,overcast clouds
680,Alta Floresta,BR,-9.8756,-56.0861,91.72,28,97,2.17,overcast clouds
681,Hambantota,LK,6.1241,81.1185,78.85,79,100,14.47,overcast clouds
682,Yaan,NG,7.3833,8.5667,71.02,95,25,2.71,scattered clouds
683,Landeck,AT,47.1301,10.5636,47.14,99,100,3.67,light rain
684,Yei,SS,4.095,30.6779,65.46,96,72,1.66,broken clouds
685,Dolores,AR,-36.3132,-57.6792,59.27,72,100,10.09,light rain
686,Sayyan,YE,15.1718,44.3244,63.61,58,75,3.96,broken clouds
687,Yeppoon,AU,-23.1333,150.7333,64.18,83,4,0.76,clear sky
688,Dong Hoi,VN,17.4833,106.6,78.55,85,93,4.0,overcast clouds
689,Dire,ML,12.2833,-10.9667,72.16,96,92,3.38,moderate rain
690,Takoradi,GH,4.8845,-1.7554,75.02,91,100,7.25,overcast clouds
691,Stykkisholmur,IS,65.0757,-22.7297,45.3,81,60,6.58,broken clouds
692,Nevinnomyssk,RU,44.6267,41.9453,66.51,65,36,6.17,scattered clouds
693,Lovington,US,32.944,-103.3485,92.32,26,0,5.99,clear sky
694,Slave Lake,CA,55.2834,-114.769,49.98,93,100,6.91,overcast clouds
695,Qandala,SO,11.472,49.8728,89.49,53,72,3.49,broken clouds
696,Konevo,RU,62.1215,39.3192,47.37,96,100,7.63,overcast clouds
697,Shache,CN,38.4167,77.2406,72.72,32,94,3.71,overcast clouds
698,Auki,SB,-8.7676,160.7034,83.68,69,84,4.54,broken clouds
699,Bintulu,MY,3.1667,113.0333,75.61,94,20,4.61,few clouds
700,Taitung,TW,22.7583,121.1444,75.47,88,0,5.75,clear sky
701,Mananjary,MG,-21.2167,48.3333,64.45,93,6,4.88,light rain
702,Antalaha,MG,-14.9003,50.2788,66.6,83,60,5.75,light rain
703,Doha,QA,25.2867,51.5333,89.58,51,0,6.91,clear sky
704,Dodge City,US,37.7528,-100.0171,97.05,23,0,13.8,clear sky
705,Beringovskiy,RU,63.05,179.3167,42.31,79,98,16.37,overcast clouds
706,Khorramshahr,IR,30.4397,48.1664,76.96,27,0,4.61,clear sky
707,Lata,PT,40.1629,-8.3327,69.93,70,50,3.22,scattered clouds
708,Yumen,CN,40.2833,97.2,58.77,22,77,6.24,broken clouds
709,Camacupa,AO,-12.0167,17.4833,70.36,26,72,4.21,broken clouds
710,Machilipatnam,IN,16.1667,81.1333,79.0,83,100,8.1,overcast clouds
711,Goulburn,AU,-34.75,149.7167,44.19,87,100,22.64,overcast clouds
712,Safford,US,32.834,-109.7076,95.92,16,0,7.43,clear sky
713,Segezha,RU,63.7415,34.3222,48.34,90,100,10.18,overcast clouds
714,Saint-Louis,SN,16.3333,-15.0,88.54,51,100,14.9,overcast clouds
715,Manadhoo,MV,5.7667,73.3833,80.44,78,27,8.32,scattered clouds
716,Carballo,ES,43.213,-8.691,68.76,81,100,3.15,overcast clouds
